경기,안성시,0,0,1,0,10,2,0,0,-,0,-
경기,김포시,0,1,0,0,15,8,2,3,-,0,-
경기,동두천시,-,0,-,-,2,1,1,0,-,0,-
경기,과천시,0,-,0,-,4,0,0,1,-,1,-
경기,군포시,0,0,0,1,2,1,1,4,-,0,0
경기,남양주시,0,0,0,0,22,3,3,2,-,2,-
경기,오산시,0,0,0,-,3,1,1,1,-,0,-
경기,의왕시,0,0,0,0,2,1,0,2,-,0,-
경기,하남시,0,0,-,1,3,4,1,0,-,4,0
강원,춘천시,0,0,-,-,14,6,1,2,-,0,-
강원,원주시,0,0,-,0,15,1,5,1,-,1,-
강원,동해시,-,-,-,-,2,1,1,0,-,0,-
강원,강릉시,0,0,-,-,12,3,0,2,-,1,-
강원,속초시,-,0,0,0,0,1,0,0,-,0,-
강원,태백시,0,-,-,-,0,1,0,0,-,0,-
강원,삼척시,0,1,-,1,3,0,0,0,-,0,-
강원,홍천군,0,0,0,6,3,1,0,0,-,0,-
강원,횡성군,0,1,-,-,5,1,0,0,-,0,0
강원,영월군,0,0,0,2,4,0,0,1,-,0,0
강원,평창군,0,0,-,-,4,0,0,0,-,1,-
강원,정선군,1,-,-,-,2,0,0,0,-,0,-
강원,철원군,-,0,-,-,5,0,0,1,-,0,-
강원,화천군,0,-,-,-,7,1,0,0,-,0,-
강원,양구군,0,0,-,-,1,1,-,0,-,0,-
강원,인제군,1,0,-,-,1,0,-,1,-,0,-
강원,고성군,0,0,-,-,1,0,-,1,-,0,-
강원,양양군,1,0,0,0,2,0,-,1,-,0,1
충북,청주시,1,0,0,7,24,20,4,3,-,2,0
충북,충주시,0,0,2,0,8,7,1,2,-,1,-
충북,제천시,0,0,0,2,6,4,0,2,-,2,-
충북,보은군,0,0,-,1,4,2,0,0,-,2,-
충북,옥천군,-,0,0,0,2,0,0,3,-,0,-
충북,영동군,-,0,0,0,8,0,1,1,-,0,-
충북,진천군,0,0,-,0,12,0,0,0,-,0,-
충북,괴산군,1,0,0,2,4,2,0,0,-,1,0
충북,음성군,0,0,-,2,12,2,1,2,-,1,-
충북,단양군,0,0,-,-,4,1,-,0,-,0,-
충북,증평군,-,0,-,-,1,1,0,0,-,0,-
충남,천안시,1,1,1,0,31,8,1,7,-,1,0
충남,아산시,0,0,0,0,13,2,0,3,-,1,-
충남,보령시,0,1,-,-,5,5,0,1,-,0,-
충남,공주시,1,2,-,-,16,0,0,3,-,4,0
충남,서산시,-,-,-,-,11,8,1,4,-,0,-
충남,금산군,0,0,-,-,5,2,0,0,-,0,-
충남,태안군,-,-,-,-,10,3,1,1,-,1,-
충남,논산시,0,0,-,-,16,3,0,2,-,0,-
충남,부여군,-,0,0,-,3,1,0,1,-,1,-
충남,서천군,-,-,-,-,10,0,0,4,-,0,-
충남,청양군,-,0,-,-,4,2,0,0,-,3,-
충남,홍성군,0,-,-,-,10,2,0,0,-,0,-
충남,예산군,-,0,0,0,8,5,0,0,-,0,-
충남,당진시,-,2,-,0,22,4,0,1,-,0,-
충남,계룡시,-,-,-,0,1,0,0,1,-,0,-
전북,전주시,0,2,-,0,16,17,1,1,-,3,0
전북,군산시,0,0,-,5,9,8,1,2,-,0,-
전북,정읍시,0,1,0,2,8,1,1,5,-,0,-
전북,남원시,6,-,-,-,10,2,0,0,-,0,-
전북,김제시,-,1,2,5,9,8,0,4,-,0,-
전북,완주군,0,0,-,-,11,2,2,0,-,0,-
전북,진안군,0,0,-,-,5,3,-,0,-,-,-
전북,무주군,1,1,-,4,1,1,0,0,-,0,-
전북,장수군,0,0,-,-,4,0,-,0,-,-,-
전북,임실군,0,0,-,1,6,0,-,0,-,0,-
전북,순창군,-,-,0,-,1,1,0,0,-,1,-
전북,고창군,-,-,-,2,0,5,0,2,-,1,-
전북,부안군,0,0,-,1,4,1,0,2,-,0,-
전북,익산시,-,0,0,-,21,3,2,1,-,0,-
전남,목포시,0,0,0,0,10,1,2,4,-,0,0
전남,여수시,2,0,0,0,20,2,1,2,-,0,0
전남,순천시,0,0,1,0,19,4,1,2,-,0,-
전남,나주시,0,0,0,-,10,4,0,3,-,0,-
전남,광양시,-,2,-,-,6,4,1,1,-,0,-
전남,담양군,-,0,-,-,5,0,0,1,-,0,-
전남,곡성군,0,-,-,-,4,2,-,0,-,1,-
전남,구례군,0,-,-,-,7,0,0,0,-,1,-
전남,고흥군,-,1,-,-,13,2,-,0,-,1,-
전남,보성군,1,1,-,-,6,1,0,3,-,1,-
전남,화순군,0,0,-,-,8,3,1,0,-,0,-
전남,장흥군,0,0,-,-,6,3,0,0,-,0,-
전남,강진군,-,0,-,-,4,0,0,1,-,0,-
전남,해남군,-,0,-,-,10,3,0,1,-,2,-
전남,영암군,-,0,-,-,7,0,0,1,-,1,-
전남,무안군,0,0,-,0,5,7,0,0,-,3,-
전남,함평군,0,0,-,-,4,1,-,1,-,0,-
전남,영광군,-,0,-,-,7,5,0,0,-,0,-
전남,장성군,0,0,0,0,2,2,0,0,-,2,-
전남,완도군,-,0,-,0,8,2,0,1,-,1,-
전남,진도군,-,-,-,-,5,1,-,2,-,0,-
전남,신안군,-,0,-,0,8,0,-,1,-,1,-
경북,포항시,0,2,0,2,10,3,1,8,0,1,-
경북,경주시,1,0,0,3,13,7,0,5,0,1,-
경북,김천시,0,1,-,-,14,10,3,0,-,1,0
